_id,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source
o_tasks/40bccc43-43ca-4dff-bc84-998872e8fb45,15277,"Prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures.",n/a,n/a,06/2006,Analyst
o_tasks/b005d4d5-d6a5-455a-b203-311ea1732c31,80db7342-e453-47d5-83f2-92811a70d89d,Supervise other food science technicians.,New,5,07/2013,Incumbent
o_tasks/97a96201-1ced-400f-ab84-754b8154e681,15278,Read and review concerns of constituents or the general public and determine if governmental action is necessary.,n/a,n/a,06/2006,Analyst
o_tasks/8a4c0c57-b887-4b3f-8e8e-d5639a442c2e,3253c7d5-892c-450d-a7d2-c0fe647e3e3f,Evaluate and interpret seismic data with the aid of computers.,New,8,12/2006,Incumbent
o_tasks/d78a0f85-726a-4981-961e-46a81f3fde64,15279,"Represent their parties in negotiations with political executives or members of other parties, and when speaking with the media.",n/a,n/a,06/2006,Analyst
o_tasks/dffdda5f-45fd-42a5-8b52-2ff32e1b9284,0888117e-4c62-4666-b5f6-773cbb24b32b,Record geological data in a database.,New,6,12/2006,Incumbent
o_tasks/ff83feac-aca8-403d-b238-5dd0526971f7,15280,"Review bills in committee, and make recommendations about their future.",n/a,n/a,06/2006,Analyst
o_tasks/4892f3ec-6da8-433b-a315-b38559304034,c5e3ad14-e513-4f59-9ef9-04e312c41e19,"Calibrate, maintain, and repair chemical instrumentation sensing elements and sampling system equipment, using calibration instruments and hand tools.",Revision,11,07/2014,Incumbent
o_tasks/b285bdfa-74dd-4ae3-be63-d8e854fa61f6,15281,Seek federal funding for local projects and programs.,n/a,n/a,06/2006,Analyst
o_tasks/65e89519-80f7-4e4a-b40a-c538b8b3bbcd,da2f7986-e1e9-4c71-bff9-efa998f1a86a,Document results from radiation and contamination surveys.,New,5,07/2014,Incumbent
o_tasks/bb1e98de-d64c-4b72-a4ff-8a1f73189ecb,15282,"Serve on commissions, investigative panels, study groups, and committees in order to examine specialized areas and recommend action.",n/a,n/a,06/2006,Analyst
o_tasks/a5d53964-168f-4b89-8940-f71e368009d8,c4f2bc73-6c1c-4799-ba1d-3e82eeaeb8f4,"Inspect, test, and maintain respiratory protection equipment.",New,9,07/2014,Incumbent
o_tasks/37cda30e-c8b2-4d5e-8f90-3a2f53d7d115,15283,"Vote on motions, amendments, and decisions on whether or not to report a bill out from committee to the assembly floor.",n/a,n/a,06/2006,Analyst
o_tasks/e98d0f5d-6d02-4682-860a-944ecd1bb887,c58f27f1-a237-4c62-a6f5-e97265d86d96,Write radiological work permits.,New,7,07/2014,Incumbent
o_tasks/2f3b4863-53cc-4366-9db2-d794d921f089,15284,"Write, prepare, and deliver statements for the Congressional Record.",n/a,n/a,06/2006,Analyst
o_tasks/95d763e2-609b-488c-885a-2f0452fbcfd4,c4df5269-0505-466d-8895-8944c1de42d8,Write grant proposals.,New,5,08/2019,Incumbent
o_tasks/a9e46019-2380-43f5-a0a1-19bf19cbe0ce,15285,"Alert constituents of government actions and programs by way of newsletters, personal appearances at town meetings, phone calls, and individual meetings.",n/a,n/a,06/2006,Analyst
o_tasks/9eb44f1b-5dd2-4ec6-b8a4-eb10997f7c70,4e3b986f-17ae-4bc1-b0de-f294343b1e64,Analyze data from computers or other digital media sources for evidence related to criminal activity.,New,7,07/2013,Incumbent
o_tasks/599a4cb2-9d0f-49d4-afae-b2431d6472eb,15286,"Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships.",n/a,n/a,06/2006,Analyst
o_tasks/70a8fac8-56c6-4685-9411-fecc7c787b59,9aa6bfce-d95f-4b6c-ad75-f26d22601578,Analyze DNA data to identify DNA donor profiles.,New,9,07/2013,Incumbent
o_tasks/cdc03777-2d90-40b7-9617-34f7d8865a77,15287,"Conduct ""head counts"" to help predict the outcome of upcoming votes.",n/a,n/a,06/2006,Analyst
o_tasks/a85cbecb-b1b2-4eb9-a130-403846be47a8,0b17f823-92c5-4535-907b-efb62794a4c5,"Examine footwear, tire tracks or other types of impressions.",New,7,07/2013,Incumbent
o_tasks/2bd905bd-8334-4a43-b52c-40d2b80f022e,15288,"Determine campaign strategies for media advertising, positions on issues, and public appearances.",n/a,n/a,06/2006,Analyst
o_tasks/c1639656-0275-439c-8fd7-ab8660e51757,a27a6cf8-86c5-462d-bb36-94ec8a2c2ca7,"Examine physical evidence, such as hair, biological fluids, fiber, wood, or soil residues to obtain information about its source and composition.",Revision,6,07/2013,Incumbent
o_tasks/9efa4777-914c-42b7-b080-5b18ebcde855,15289,Encourage and support party candidates for political office.,n/a,n/a,06/2006,Analyst
o_tasks/4322315f-4a6e-4100-b3d2-b4ec1f5bf13d,66e6a9c3-5d84-43ec-8964-6eb8ac70e8a8,Measure and sketch crime scenes to document evidence.,New,14,07/2013,Incumbent
o_tasks/7c1dbe74-a53e-4e89-a9b7-42c7325dd285,15290,"Establish personal offices in local districts or states, and manage office staff.",n/a,n/a,06/2006,Analyst
o_tasks/43b354be-eff2-4136-aa6b-fc91972801e0,96f945f7-0e29-43ba-9c97-5d80a21c1570,"Train others, such as new personnel, on crime scene investigation techniques, including the collection and packaging of evidence.",New,9,07/2013,Incumbent
o_tasks/981682ea-933c-42a7-ae27-0779f1a9db0e,15291,"Evaluate the structure, efficiency, activities, and performance of government agencies.",n/a,n/a,06/2006,Analyst
o_tasks/9f622ba9-9a84-46d5-b4ea-c6f50fd4aa97,a99e54dc-4b97-4af3-ace4-7b5891470a7a,Develop contracts related to operations.,New,5,08/2018,Incumbent
o_tasks/8f2e4d69-0d7e-4349-9a44-1704d4aafb1b,15292,"Organize and maintain campaign organizations and fundraisers, in order to raise money for election or re-election.",n/a,n/a,06/2006,Analyst
o_tasks/27f915de-aff8-4af1-a092-8c29025cf37a,3ef4d296-9202-4e07-8bff-2dd19d6930c1,Monitor environmental conditions such as temperature or humidity.,New,5,08/2018,Incumbent
o_tasks/370000af-e22b-42cc-a4cc-d91a814cc41a,15293,"Oversee expense allowances, ensuring that accounts are balanced at the end of each fiscal year.",n/a,n/a,06/2006,Analyst
o_tasks/266ef407-8a35-47db-a3e1-44f574c6e649,d695580a-900a-4251-b2db-0af2bcd835de,Write reports on forestry or conservation activities.,New,7,08/2018,Incumbent
o_tasks/ccfd1340-faae-497e-87e3-775e9150c751,15294,Promote the industries and products of their electoral districts.,n/a,n/a,06/2006,Analyst
o_tasks/2bb4a33e-3d81-4187-825d-7a8f96c5d730,a5c09b2a-ef97-4b08-9dc6-7912ef6d0990,"Counsel individuals or groups to help them understand and overcome personal, social, or behavioral problems affecting their educational or vocational situations.",Revision,5,08/2018,Incumbent
o_tasks/6bc2be19-0f57-43f8-a98c-5930ce3788c1,15295,"Represent their government at local, national, and international meetings and conferences.",n/a,n/a,06/2006,Analyst
o_tasks/e2f55c1b-1cc2-439d-9b09-67fcd06bb25e,0d5b48b1-8a54-4576-93cf-4390559e6143,Refer students to outside counseling services.,New,5,08/2018,Incumbent
o_tasks/9aacbdd5-3ace-4540-8848-4086528a17b9,15296,Speak to students to encourage and support the development of future political leaders.,n/a,n/a,06/2006,Analyst
o_tasks/66737e5d-ecc4-4bf7-858c-e0f7fadd2f02,d3e35210-a88a-4634-a2eb-bff5ea11ff8a,Collaborate with mental health professionals and other staff members to perform clinical assessments or develop treatment plans.,Revision,7,07/2013,Incumbent
o_tasks/402dc78f-d4f6-4bbb-8541-b83dcecd8916,3224,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",Core,73,08/2018,Incumbent
o_tasks/407b43db-df97-4c63-9522-cb4c82b8932a,c67173b9-1ac9-4c3e-a8fb-f2517c56fb81,Perform crisis interventions to help ensure the safety of the patients and others.,New,8,07/2013,Incumbent
o_tasks/8272a673-22a6-4c28-8d23-525fa95bedcf,3226,"Inspect layouts and advertising copy and edit scripts, audio and video tapes, and other promotional material for adherence to specifications.",Core,72,08/2018,Incumbent
o_tasks/34b91ced-c643-4ca6-b02a-e0f41c8c215f,21d42036-5b29-489e-8242-b8677cc23feb,Supervise rehabilitation counselors and staff.,New,5,07/2012,Incumbent
o_tasks/8d160560-c61a-440c-a3df-f031591c0c03,3225,Assist with annual budget development.,Core,72,08/2018,Incumbent
o_tasks/a6fff8b7-30e4-46b5-992f-80e024d8db28,16078b88-3907-4f55-b968-17780e0b183b,Educate clients about end of life symptoms and options to assist them in making informed decisions.,New,5,07/2014,Occupational Expert
o_tasks/a4479187-6421-4756-878c-564894bbc27d,3231,"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",Core,72,08/2018,Incumbent
o_tasks/361bcda2-2334-4442-9d19-d3cf553b29fa,4204f4cb-ef2c-42d0-9cf4-16b3ff824ef0,"Assess clients' cognitive abilities, and physical and emotional needs to determine appropriate interventions.",New,8,07/2013,Incumbent
o_tasks/6fe901a5-16f6-42ee-91c5-4d64a7cca600,3242,Coordinate with the media to disseminate advertising.,Core,71,08/2018,Incumbent
o_tasks/6a554bd8-9017-4a78-a7d5-6438150e08e1,ca1f7bed-4718-4dbc-bc4e-8f34c49d4620,Develop and implement behavioral management and care plans for clients.,New,6,07/2013,Incumbent
o_tasks/ab1094e0-ec0d-4e4b-ad5b-2ea3634b3c99,3227,"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.",Core,71,08/2018,Incumbent
o_tasks/ad5066c8-f8a8-4678-9d0a-9b3c25164645,6350fd12-fa91-476e-8ed4-0fa973188c5e,Negotiate contractual agreements.,New,6,07/2016,Incumbent
o_tasks/cb12f19f-1cf0-4e9f-82e0-8b7b5c4d2877,3238,Plan and execute advertising policies and strategies for organizations.,Core,71,08/2018,Incumbent
o_tasks/785564fa-bee2-4be8-b72c-8ced092acd1e,95fb5c0c-60ac-4e29-a72c-db6b3e687393,"Work in environmental law, representing the state, federal agencies, public interest groups, waste disposal companies, or construction firms.",Revision,6,07/2016,Incumbent
o_tasks/40f6ed41-3156-4334-b7e9-3b7902549fa4,3237,"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.",Core,72,08/2018,Incumbent
o_tasks/22f6a017-dfa9-4a1f-9b5a-bb227b766743,6de575ac-ebd0-4ee5-a5e2-6bbc5afa83b0,Schedule hearings.,New,5,07/2011,Incumbent
o_tasks/82594057-19c1-4674-8197-97de34111a94,3230,Gather and organize information to plan advertising campaigns.,Core,72,08/2018,Incumbent
o_tasks/0a8c9b2d-fb5d-4cc2-8eaf-6263c99bde92,eeb80794-ba6f-421b-b57a-3af47ea59a4a,Issue arrest warrants.,New,6,07/2011,Incumbent
o_tasks/4b98b23d-4492-4309-9c85-1e4ef4660545,21038,Create media notices about events.,Core,73,08/2018,Incumbent
o_tasks/978ed1d3-2451-4d95-bb7e-3392e16b843c,64c7eef7-b286-4b08-a3a1-63410a8e0eac,"Prepare, edit, or review legal documents, including legislation, briefs, pleadings, appeals, wills, contracts, and real estate closing statements.",Revision,6,08/2018,Incumbent
o_tasks/f55eb793-432a-44c8-ab3f-d15719e12982,3223,Prepare budgets and submit estimates for program costs as part of campaign plan development.,Core,71,08/2018,Incumbent
o_tasks/08a4b43f-fbaf-4a53-9c54-7784f0d64059,b5e193a0-fb6c-423b-ab5e-d6d835356e14,Log and store exhibits from court proceedings.,New,14,07/2011,Incumbent
o_tasks/3cb4e4d0-e3b4-4900-b1a0-9dde9392532b,3243,Contact organizations to explain services and facilities offered.,Core,74,08/2018,Incumbent
o_tasks/f8fad959-d060-4d20-adee-5ee9c0caa3d3,6f151efb-cc9b-4578-b286-f4a57fe2ee03,Proofread transcripts for correct spelling of words.,New,35,07/2011,Incumbent
o_tasks/9092919e-1666-4b47-a2e3-e56a01775af2,3233,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,Core,71,08/2018,Incumbent
o_tasks/eee74b88-4ddf-4f18-844b-316197bd12bf,e4b61be3-6616-4f0d-b0e5-44883d23bee6,Type court orders for judges.,New,6,07/2011,Incumbent
o_tasks/951febe3-860b-4901-a2a0-d25b1476fd17,3229,"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.",Core,73,08/2018,Incumbent
o_tasks/88e2bf7b-f91a-4225-a24d-e77acddc0537,a18017d2-4878-43d1-af36-f06d22401507,Hire adjunct faculty.,New,5,08/2019,Incumbent
o_tasks/56e6e57c-0e57-4322-ac66-d6d202cfcbc3,3239,"Track program budgets, expenses, and campaign response rates to evaluate each campaign based on program objectives and industry norms.",Core,72,08/2018,Incumbent
o_tasks/68a2d192-309f-405b-8a8f-bd0e00619a23,03cc5f37-b8c5-4500-b56f-19b8d48b86bc,Write letters of recommendation for students.,New,10,08/2019,Incumbent
o_tasks/aba0e587-117e-4b9d-b411-a1e7467507e5,3234,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",Core,72,08/2018,Incumbent
o_tasks/d9b6123a-975c-4812-ab94-cdf4ccd8985f,3bd7f008-a8fa-4ecc-af51-c895b22c564e,"Prepare and deliver lectures to undergraduate or graduate students on topics such as structural geology, micrometeorology, atmospheric thermodynamics, and physics.",Revision,6,08/2019,Incumbent
o_tasks/9ab15081-a311-4a54-885b-a59165eeeed4,18586,"Manage sales team including setting goals, providing incentives, and evaluating employee performance.",Supplemental,72,08/2018,Incumbent
o_tasks/aecc5c27-1412-423e-8208-4ecddec07c16,eb3edc32-0ce5-4706-b76f-c73fb66609aa,Review articles to determine their suitability for publication.,New,5,08/2019,Incumbent
o_tasks/7489be98-2edf-4704-bff5-de042d5a2c55,3228,Prepare and negotiate advertising and sales contracts.,Supplemental,72,08/2018,Incumbent
o_tasks/06b71a18-5a24-43fa-bae4-d77dbdd3f21d,3b293f64-7948-4487-bfe9-5bb97c356b8e,Hire new faculty.,New,6,08/2019,Incumbent
o_tasks/38f17502-16b6-4caa-b132-3e265ec89580,3235,Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.,Supplemental,69,08/2018,Incumbent
o_tasks/b9594a2d-cca5-4a71-8598-509a541efa96,26a303e9-3aee-488e-a2b5-2f5b2817adba,Mentor other faculty members.,New,5,08/2019,Incumbent
o_tasks/9f7844a1-0c48-4836-b7aa-7cbd966f9045,3241,Train and direct workers engaged in developing and producing advertisements.,Supplemental,72,08/2018,Incumbent
o_tasks/ef7ff16b-8177-42a2-9540-94dc73452502,7c94b40b-aea6-4394-90a5-09d95c7911a4,Give presentations to community groups.,New,6,08/2019,Incumbent
o_tasks/e3f73a0c-051c-4154-97d5-1ab246910a11,3232,Confer with clients to provide marketing or technical advice.,Supplemental,73,08/2018,Incumbent
o_tasks/f27ab6e9-8c3d-40ec-be05-2f5182435c57,2d0a4798-3c07-4b2b-9f35-6084c68c585f,Review manuscripts.,New,5,08/2019,Incumbent
o_tasks/e46527bb-b422-4e71-9844-0c2e1730005a,3240,"Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support, and action, to further campaign goals.",Supplemental,72,08/2018,Incumbent
o_tasks/b17d39f7-3ca8-4ece-9fe7-8a09ca91bac6,3236,Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.,Supplemental,72,08/2018,Incumbent
o_tasks/560c7024-db23-412f-8f1b-7fe46daf65d2,9f372151-ffb0-448e-a6ab-8fc184ef56f6,Deliver presentations at professional conferences.,New,5,08/2019,Incumbent
o_tasks/ccda79fc-1c2c-46be-bd14-94d0cfc52db5,3245,Represent company at trade association meetings to promote products.,Supplemental,74,08/2018,Incumbent
o_tasks/ee02d5ca-9f53-4085-bcc0-675523dcc767,960f8d3e-1aac-40f8-92d6-118e7a49dcb4,Serve as a mentor.,New,6,08/2019,Incumbent
o_tasks/32c59e36-3414-4835-b7d5-5b5dd30edcea,3244,Direct and coordinate product research and development.,Supplemental,71,08/2018,Incumbent
o_tasks/6ef2c2a8-6e61-48b1-8519-1830c843fdd4,20fee3aa-65af-4bff-b8b1-34a4a863c71a,Mentor new faculty members.,New,5,07/2014,Incumbent
o_tasks/5e5790ad-2c05-484f-9d13-367308ff1d13,3246,Consult publications to learn about conventions and social functions and to organize prospect files for promotional purposes.,Supplemental,72,08/2018,Incumbent
o_tasks/75b7e47f-903a-455b-a9c4-291df426878f,b090c85c-da4a-4496-b05d-261299e38a10,Direct theater productions.,New,5,08/2019,Incumbent
o_tasks/c6c2c47e-a46e-426d-b707-ee5aa7fdbfed,19941,Analyze green product marketing or sales trends to forecast future conditions.,n/a,n/a,07/2011,Analyst
o_tasks/1d110095-7bed-4965-9e44-dc370a09aa63,15400,Analyze the effectiveness of marketing tactics or channels.,n/a,n/a,07/2011,Analyst
o_tasks/74aa92cc-7067-46da-9f9f-b568ad07addc,fd55f1d8-76b4-4681-804c-01c3c81b0609,Mentor students.,New,6,08/2019,Incumbent
o_tasks/3fba02e6-4832-4c7a-a615-9c135946de86,19940,"Attend or participate in conferences, community events, and promotional events related to green products or technologies.",n/a,n/a,07/2011,Analyst
o_tasks/ed6fc3ea-7974-444e-9171-671372a160b3,1bc85a66-1e09-4bf7-8946-f920f264a470,Evaluate faculty members.,New,6,08/2019,Incumbent
